,Number,Title,Artist,Genre,Year,Dance,Positiveness,Duration,Popularity
0,1,Put Your Head On My Shoulder,Paul Anka,adult standards,1950,55,47,155,72
1,2,Whatever Will Be Will Be (Que Sera Sera) (with Frank DeVol & His Orchestra) - Single Version,Doris Day,adult standards,1950,42,78,123,62
2,3,Everybody Loves Somebody,Dean Martin,adult standards,1950,26,40,162,61
3,4,Take Good Care Of My Baby - 1990 Remastered,Bobby Vee,adult standards,1950,49,66,151,60
4,5,A Teenager In Love,Dion & The Belmonts,adult standards,1950,56,62,158,60
5,6,She's Got You - Single Version,Patsy Cline,adult standards,1950,39,57,182,57
6,7,Puppy Love - Remix,Paul Anka,adult standards,1950,29,54,164,56
7,8,Travelin' Man - Remastered,Ricky Nelson,adult standards,1950,74,86,143,55
8,9,Mr. Blue,The Fleetwoods,adult standards,1950,37,21,145,55
9,10,Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini,Brian Hyland,adult standards,1950,81,96,144,54
10,11,Lonesome Town - 1990 Digital Remaster,Ricky Nelson,adult standards,1950,51,30,136,54
11,12,16 Candles,Johnny Maestro,brill building pop,1950,60,60,175,53
12,13,If I Give My Heart to You (with The Mellomen) - 78rpm Version,Doris Day,adult standards,1950,50,33,169,52
13,14,Sh-Boom - Single Version,The Chords,doo-wop,1950,67,91,144,52
14,15,Sh-Boom (Life Could Be A Dream),The Crew Cuts,doo-wop,1950,67,56,168,51
15,16,It's All In The Game,Tommy Edwards,deep adult standards,1950,38,65,159,49
16,17,You Mean Everything to Me,Neil Sedaka,adult standards,1950,37,68,158,48
17,18,April Love,Pat Boone,adult standards,1950,39,50,161,48
18,19,Surf City - Remastered 1990/Stereo Remix,Jan & Dean,brill building pop,1950,47,94,163,48
19,20,I've Grown Accustomed To Her Face - Remastered/1998,Dean Martin,adult standards,1950,57,34,163,47
20,21,Rubber Ball,Bobby Vee,adult standards,1950,42,77,144,47
21,22,Chicago - Remastered,Frank Sinatra,adult standards,1950,51,79,134,47
22,23,But Not For Me,Ella Fitzgerald,adult standards,1950,18,16,214,45
23,24,In The Still Of The Night,The Five Satins,brill building pop,1950,44,20,184,44
24,25,Only Because,The Platters,adult standards,1950,55,47,174,44
25,26,Che La Luna,Louis Prima,adult standards,1950,68,99,152,44
26,27,My Happiness,Connie Francis,adult standards,1950,45,28,150,44
